Date,User,IsVerified,Tweet,Likes,RT,User_location
2022-12-25 16:54:41+00:00,Braxton_Kerluke58UCEZB,False,ESUPPORT Car Heavy Duty Relay Switch 12V 30A SPST 4Pin Waterproof Electrical Automotive Pack of 5 5GV2P1T… https://t.co/BomoJhyXZm,0,0,
2022-12-25 15:42:39+00:00,Thomas Lovell,False,"@BednarikMatt Car wash, laundromat, massage therapy clinic, physiotherapy clinic, occupational therapy practice, ps… https://t.co/BTSEpZYS8R",1,0,Canada
2022-12-25 15:37:17+00:00,Keon.Cronin52uWqV,False,AUGREX Terminal Cleaning Tool Car Battery Terminal Cleaner Electrical Connector Tweezer Spade Pin Metal Terminal Wi… https://t.co/5GzIMJVG7G,0,0,
2022-12-25 15:31:33+00:00,Koupip ☕️Vtuber☕️,False,@leftlaneblaine @Cnut_real especially since every car company now has an electrical car AND they are ALL without fa… https://t.co/YjRyXitfb9,0,0,
2022-12-25 14:53:39+00:00,jeaspleen,False,"@emrazz Probably be desperately searching for someone to fix my pipes, electrical wiring, my car, be wondering how… https://t.co/rDGfSzWYTo",0,0,
2022-12-25 14:38:48+00:00,Alek.HackettTCQp,False,"Custom Auto Wiring &amp; Electrical HP1545: OEM Electrical Systems, Premade &amp; Custom Wiring Kits, &amp; Car Audio Installat… https://t.co/Sr5c5pjr0X",0,0,
2022-12-25 14:32:12+00:00,happy0shopping,False,76/100/121/146pcs Auto Repair Key Set Terminal Removal Tool Car Electrical Wire Crimp Connector Pin Needle Extracto… https://t.co/OO2p3xmZT1,0,0,
2022-12-25 14:20:46+00:00,happy0shopping,False,Car Truck Voltage Electrical Circuit Tester600 Digital Display Power Probe Pen Light Bulb Auto Repair Automobile Di… https://t.co/Jtk8UZUA0Y,0,0,
2022-12-25 14:20:06+00:00,Matt McDonald,False,@JbarGarden @T3rriClark @GregAbbott_TX Someone else unfamiliar with mechanical and electrical equipment that needs… https://t.co/WT6CtnBubV,0,0,Houston
2022-12-25 13:31:21+00:00,Warth 🦋,False,"@engineers_feed I’m sorry father, I’m a mechanical engineer you can’t expect me to fix an electrical appliance?! Th… https://t.co/KDcCmPjyLO",62,0,
